"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-05-08",74152,1781,6294,11780,6320,49758,154069,7187505,272058,531,6788,1285665,27159,198423,56,8736572,305133
"2020-05-07",72371,2752,5174,12136,4319,51425,147749,6915447,274277,529,7070,1258506,27224,194375,56,8431439,316062
"2020-05-06",69619,1916,4911,12478,2086,52581,143430,6641170,225947,449,4753,1231282,25145,189399,56,8115377,277283
"2020-05-05",67703,2494,4794,12628,1966,53176,141344,6415223,247686,439,4818,1206137,22510,189316,56,7838094,273837
"2020-05-04",65209,1028,4579,12696,1764,52377,139378,6167537,209841,430,4848,1183627,22501,186670,56,7564257,238928
"2020-05-03",64181,1243,4502,12720,1923,52619,137614,5957696,209555,425,4761,1161126,25534,179614,56,7325329,228928
"2020-05-02",62938,1531,4386,12905,1976,54009,135691,5748141,217089,375,4845,1135592,29039,174886,56,7096401,270061
"2020-05-01",61407,1808,4300,12845,9815,54862,133715,5531052,266184,376,4707,1106553,32795,163554,56,6826340,283213
"2020-04-30",59599,2153,4192,13255,2328,54921,123900,5264868,203595,373,4712,1073758,29980,154587,56,6543127,266567
"2020-04-29",57446,2685,4093,13535,3048,55987,121572,5061273,213151,365,4796,1043778,26230,147234,56,6276560,251223
"2020-04-28",54761,2077,3798,13562,2078,56034,118524,4848122,183442,252,4760,1017548,25365,139080,56,6025337,209925
"2020-04-27",52684,1287,3720,13812,3455,56183,116446,4664680,169966,252,4867,992183,22599,121464,56,5815412,199821
"2020-04-26",51397,1222,2571,14104,2176,56149,112991,4494714,179290,227,5121,969584,27052,116565,56,5615591,206301
"2020-04-25",50175,1627,2516,14415,2326,57343,110815,4315424,235661,227,5266,942532,35651,112603,56,5409290,274228
"2020-04-24",48548,1972,2468,14605,2362,57324,108489,4079763,204374,227,5187,906881,34280,103423,56,5135062,241371
"2020-04-23",46576,1814,2428,14744,2843,59216,106127,3875389,167526,227,5464,872601,31970,96947,56,4893691,208275
"2020-04-22",44762,2082,2370,15013,3094,59212,103284,3707863,294768,227,5474,840631,29131,92996,56,4685416,338620
"2020-04-21",42680,2481,2315,14941,2736,59773,100190,3413095,128845,214,5514,811500,26218,72870,56,4346796,166007
"2020-04-20",40199,1815,2193,14463,2263,56734,97454,3284250,119489,214,5567,785282,26104,69507,56,4180789,147869
"2020-04-19",38384,1763,2145,14385,2213,56497,95191,3164761,127207,214,5603,759178,27272,67227,56,4032920,151437
"2020-04-18",36621,1891,2096,14769,3417,57788,92978,3037554,118191,205,5729,731906,27827,62923,56,3881483,156988
"2020-04-17",34730,2118,2052,14890,3407,58886,89561,2919363,125535,187,6096,704079,31979,53562,56,3724495,164084
"2020-04-16",32612,2197,1834,15130,3161,59498,86154,2793828,134883,176,5940,672100,31581,48851,56,3560411,176230
"2020-04-15",30415,2546,1783,14646,3711,59924,82993,2658945,108582,223,6032,640519,29859,43448,56,3384181,146526
"2020-04-14",27869,2353,1715,14039,3143,59600,79282,2550363,126229,221,5975,610660,26080,39304,56,3237655,161065
"2020-04-13",25516,1630,1622,13620,4445,56237,76139,2424134,107535,208,6168,584580,24384,35381,56,3076590,130807
"2020-04-12",23886,1700,1449,13620,3266,55449,71694,2316599,111251,158,5968,560196,28002,34081,56,2945783,139465
"2020-04-11",22186,2079,1399,13285,3660,55557,68428,2205348,110196,152,5978,532194,31092,31567,56,2806318,141411
"2020-04-10",20107,2072,1179,12693,4874,53167,64768,2095152,118222,39,5937,501102,33473,29015,56,2664907,154558
"2020-04-09",18035,2062,918,12450,3901,51313,59894,1976930,140016,39,5794,467629,35116,24835,56,2510349,174405
"2020-04-08",15973,1997,862,10337,4307,45515,55993,1836914,119165,39,4131,432513,30907,21132,56,2335944,158366
"2020-04-07",13976,2044,738,9978,2997,43849,51686,1717749,122383,43,4076,401606,30702,18481,56,2177578,154711
"2020-04-06",11932,1313,663,7079,2968,36159,48689,1595366,121917,39,2961,370904,28410,16557,56,2022867,151277
"2020-04-05",10619,1339,609,5811,3900,32180,45721,1473449,94622,39,652,342494,25634,14589,56,1871590,122226
"2020-04-04",9280,1481,403,5500,5024,30268,41821,1378827,195343,39,656,316860,32867,12844,56,1749364,228244
"2020-04-03",7799,1285,335,4928,4572,25777,36797,1183484,100560,39,623,283993,31877,10861,56,1521120,135375
"2020-04-02",6514,1178,305,4513,4155,22997,32225,1082924,93172,32,574,252116,28037,8586,56,1385745,122911
"2020-04-01",5336,1004,256,3937,4245,20906,28070,989752,83481,32,561,224079,26128,7084,56,1262834,112497
"2020-03-31",4332,907,230,3487,4003,18155,23825,906271,87868,,507,197951,25174,5666,56,1150337,114632
"2020-03-30",3425,588,187,3087,2483,15917,19822,818403,95697,,451,172777,21485,4560,56,1035705,116583
"2020-03-29",2837,504,156,2456,2791,14055,17339,722706,65435,,439,151292,19445,4076,56,919122,83552
"2020-03-28",2333,551,140,2174,2407,12409,14548,657271,97766,,390,131847,19599,3145,56,835570,100456
"2020-03-27",1782,408,124,1792,2584,10978,12141,559505,77229,,324,112248,19247,2418,56,735114,102115
"2020-03-26",1374,316,91,1299,2470,7805,9557,482276,86465,,258,93001,17724,97,56,632999,108422
"2020-03-25",1058,238,74,,1956,5140,7087,395811,70897,,167,75277,12898,146,56,524577,89096
"2020-03-24",820,238,,,1179,3938,5131,324914,59584,,,62379,10756,,56,435481,71725
"2020-03-23",582,101,,,919,2812,3952,265330,46458,,,51623,11432,,56,363756,58237
"2020-03-22",481,146,,,1007,2173,3033,218872,35677,,,40191,9170,,56,305519,49861
"2020-03-21",335,62,,,1873,1492,2026,183195,39974,,,31021,6808,,56,255658,49516
"2020-03-20",273,70,,,25,1042,153,143221,29836,,,24213,6121,,56,206142,43236
"2020-03-19",203,48,,,34,617,128,113385,23220,,,18092,4705,,56,162906,32950
"2020-03-18",155,31,,,18,416,94,90165,18720,,,13387,3364,,56,129956,27334
"2020-03-17",124,24,,,33,325,76,71445,16424,,,10023,2246,,56,102622,23341
"2020-03-16",100,21,,,6,,43,55021,19521,,,7777,1858,,56,79281,24253
"2020-03-15",79,15,,,10,,37,35500,6049,,,5919,1189,,51,55028,9117
"2020-03-14",64,8,,,4,,27,29451,5273,,,4730,982,,51,45911,8464
"2020-03-13",56,5,,,6,,23,24178,6253,,,3748,952,,51,37447,9023
"2020-03-12",51,8,,,5,,17,17925,5318,,,2796,742,,51,28424,6511
"2020-03-11",43,6,,,3,,12,12607,3816,,,2054,503,,51,21913,4614
"2020-03-10",37,2,,,0,,9,8791,2639,,,1551,439,,51,17299,3149
"2020-03-09",35,4,,,3,,9,6152,1803,,,1112,285,,51,14150,2189
"2020-03-08",31,4,,,0,,6,4349,892,,,827,195,,51,11961,1182
"2020-03-07",27,1,,,0,,6,3457,739,,,632,135,,51,10779,955
"2020-03-06",26,6,,,1,,6,2718,775,,,497,130,,39,9824,961
"2020-03-05",20,4,,,1,,5,1943,546,,,367,88,,30,8863,657
"2020-03-04",16,2,,,4,,4,1397,951,,,279,134,,24,8206,1041
"2020-03-03",14,3,,,0,,,446,203,,,145,51,,13,7165,292
"2020-03-02",11,3,,,0,,,243,158,,,94,44,,11,6873,212
"2020-03-01",8,3,,,0,,,85,61,,,50,32,,10,6661,109
"2020-02-29",5,1,,,0,,,24,24,,,18,18,,7,6552,62
"2020-02-28",4,2,,,0,,,0,0,,,0,0,,7,6490,3
"2020-02-27",2,0,,,0,,,0,0,,,0,0,,7,6487,6446
"2020-02-26",2,2,,,0,,,0,0,,,0,0,,5,41,0
"2020-02-25",0,0,,,0,,,0,0,,,0,0,,5,41,1
"2020-02-24",0,0,,,0,,,0,0,,,0,0,,5,40,2
"2020-02-23",0,0,,,0,,,0,0,,,0,0,,5,38,0
"2020-02-22",0,0,,,0,,,0,0,,,0,0,,5,38,1
"2020-02-21",0,0,,,0,,,0,0,,,0,0,,5,37,1
"2020-02-20",0,0,,,0,,,0,0,,,0,0,,5,36,1
"2020-02-19",0,0,,,0,,,0,0,,,0,0,,5,35,6
"2020-02-18",0,0,,,0,,,0,0,,,0,0,,5,29,0
"2020-02-17",0,0,,,0,,,0,0,,,0,0,,5,29,1
"2020-02-16",0,0,,,0,,,0,0,,,0,0,,5,28,2
"2020-02-15",0,0,,,0,,,0,0,,,0,0,,5,26,4
"2020-02-14",0,0,,,0,,,0,0,,,0,0,,4,22,0
"2020-02-13",0,0,,,0,,,0,0,,,0,0,,4,22,1
"2020-02-12",0,0,,,0,,,0,0,,,0,0,,4,21,1
"2020-02-11",0,0,,,0,,,0,0,,,0,0,,4,20,1
"2020-02-10",0,0,,,0,,,0,0,,,0,0,,4,19,1
"2020-02-09",,0,,,0,,,0,0,,,0,0,,3,18,0
"2020-02-08",,0,,,0,,,0,0,,,0,0,,3,18,2
"2020-02-07",,0,,,0,,,0,0,,,0,0,,3,16,0
"2020-02-06",,0,,,0,,,0,0,,,0,0,,3,16,1
"2020-02-05",,0,,,0,,,0,0,,,0,0,,3,15,0
"2020-02-04",,0,,,0,,,0,0,,,0,0,,3,15,4
"2020-02-03",,0,,,0,,,0,0,,,0,0,,3,11,3
"2020-02-02",,0,,,0,,,0,0,,,0,0,,3,8,0
"2020-02-01",,0,,,0,,,0,0,,,0,0,,3,8,0
"2020-01-31",,0,,,0,,,0,0,,,0,0,,3,8,3
"2020-01-30",,0,,,0,,,0,0,,,0,0,,3,5,0
"2020-01-29",,0,,,0,,,0,0,,,0,0,,3,5,2
"2020-01-28",,0,,,0,,,0,0,,,0,0,,2,3,0
"2020-01-27",,0,,,0,,,0,0,,,0,0,,2,3,1
"2020-01-26",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-25",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-24",,0,,,0,,,0,0,,,0,0,,2,2,0
"2020-01-23",,0,,,0,,,0,0,,,0,0,,2,2,1
"2020-01-22",,0,,,0,,,0,0,,,0,0,,2,1,0
